field_name,description,example
ob_id,Unique row identifier for system retrieval,OB-001
competency_code,Short competency code split from source competency label,C1
competency_domain,Competency domain name,Application of Procedures
ob_code,Original observable behaviour code from source matrix,1.1
icao_observable_behaviour,Official ICAO wording from source matrix,Identifies correct processes and procedures associated with a specific task
adapted_observable_behaviour,Student-level adapted behaviour for task design,Selects the correct maintenance procedure for a practical task
learning_level,Semicolon-separated suitable learning levels,L2;L3
task_types,Semicolon-separated task types for filtering,R/I;TS;FOT
suitable_programs,Default initial program applicability for phase 1,EASA;GACA;UAS
interim_standard,Formative/interim competency expectation,Demonstrated during supervised workshop practical tasks with instructor guidance.
final_standard,Summative/final competency expectation,Demonstrated during summative workshop practical assessments with instructor supervision.
conditions,Typical conditions under which behaviour is observed,"Workshop/lab environment, standard tooling, instructor supervision."
priority,Optional future ranking field left blank in v1,
status,Reference row status for workflow filtering,approved
